"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD3D",0,5.9103600425478,0.621,0.031,0,"0","CD3D"
"PTPRC",0,3.19917614189211,0.817,0.264,0,"0","PTPRC"
"CD2",0,5.83091679326749,0.573,0.028,0,"0","CD2"
"TRBC2",0,4.89733949267817,0.565,0.057,0,"0","TRBC2"
"TRBC1",0,6.10861357675466,0.481,0.028,0,"0","TRBC1"
"CXCR4",0,2.32282240989079,0.787,0.344,0,"0","CXCR4"
"CD3E",0,5.87882413579366,0.435,0.019,0,"0","CD3E"
"TIGIT",0,5.44885381621656,0.434,0.031,0,"0","TIGIT"
"TRAC",0,4.82510554046311,0.444,0.042,0,"0","TRAC"
"CD7",0,5.38266813494861,0.434,0.034,0,"0","CD7"
"CLEC2D",0,2.93315014469358,0.536,0.137,0,"0","CLEC2D"
"SPOCK2",0,4.17664690991719,0.445,0.054,0,"0","SPOCK2"
"GIMAP7",0,5.69787980540209,0.407,0.026,0,"0","GIMAP7"
"BICDL1",0,4.62426868851475,0.432,0.069,0,"0","BICDL1"
"ITM2A",0,3.24042045256472,0.477,0.117,0,"0","ITM2A"
"LEPROTL1",0,3.50485464123236,0.531,0.188,0,"0","LEPROTL1"
"BCL11B",0,4.66794388026615,0.377,0.053,0,"0","BCL11B"
"CD3G",0,5.94845868775586,0.336,0.016,0,"0","CD3G"
"FYB1",0,4.48492576417238,0.381,0.064,0,"0","FYB1"
"CCL5",0,4.74762188578433,0.379,0.065,0,"0","CCL5"
"CD96",0,4.54380083383811,0.318,0.03,0,"0","CD96"
"PPP2R5C",0,2.90420419227108,0.642,0.357,0,"0","PPP2R5C"
"CD247",0,5.63275600087869,0.285,0.015,0,"0","CD247"
"SARAF",0,1.97609967055661,0.836,0.681,0,"0","SARAF"
"BTG1",0,1.07791424580099,0.962,0.889,0,"0","BTG1"
"MALAT1",0,0.759141133222842,0.999,0.939,0,"0","MALAT1"
"RPL14",0,0.814018664493445,0.993,0.951,0,"0","RPL14"
"RPS29",0,1.02605697888484,0.992,0.953,0,"0","RPS29"
"TMSB4X",0,1.37654753401996,0.997,0.958,0,"0","TMSB4X"
"RPS25",0,0.818956880709647,0.984,0.956,0,"0","RPS25"
"RPS26",0,0.9445326281135,0.988,0.961,0,"0","RPS26"
"RPL21",0,0.829274235408641,0.988,0.963,0,"0","RPL21"
"RPL23A",0,0.80743306336077,0.986,0.962,0,"0","RPL23A"
"MT-ATP6",0,1.04729758670508,0.997,0.978,0,"0","MT-ATP6"
"RPS14",0,0.878222116515295,0.994,0.977,0,"0","RPS14"
"RPS15A",0,0.951721794270221,0.994,0.98,0,"0","RPS15A"
"RPS3",0,0.871615015257999,0.995,0.982,0,"0","RPS3"
"RPS27",0,1.04673953675411,0.997,0.987,0,"0","RPS27"
"RPS16",0,0.925764630929296,0.992,0.984,0,"0","RPS16"
"RPL28",0,0.793204333848967,0.997,0.989,0,"0","RPL28"
"RPL13",0,0.761113680328398,0.998,0.993,0,"0","RPL13"
"DDX5",6.12642709238607e-308,1.20056683499416,0.891,0.823,2.24233358008422e-303,"0","DDX5"
"SH2D1A",8.15104416334007e-307,5.82107269712307,0.269,0.014,2.9833636742241e-302,"0","SH2D1A"
"MT-CYB",7.96561114810596e-305,0.832382191592712,0.991,0.973,2.91549333631826e-300,"0","MT-CYB"
"KLRB1",9.46422370495702e-301,6.37921812910729,0.261,0.012,3.46400051825132e-296,"0","KLRB1"
"RPS15",5.47018970323098e-296,0.64628810877648,0.995,0.981,2.00214413327957e-291,"0","RPS15"
"MT-CO2",1.10555192648197e-293,0.810635021724432,0.994,0.972,4.04643060611667e-289,"0","MT-CO2"
"NKG7",5.77047212692283e-292,5.5035315200775,0.314,0.038,2.11205050317502e-287,"0","NKG7"
"LCK",1.31898280780641e-291,5.26430921317088,0.281,0.023,4.82760897485226e-287,"0","LCK"
"RPL30",5.12513148689515e-289,0.660844023488341,0.995,0.984,1.8758493755185e-284,"0","RPL30"
"RPL34",4.78222923287904e-288,0.736254210447227,0.989,0.966,1.75034372152606e-283,"0","RPL34"
"RPS19",5.21410989742404e-286,0.679266760688584,0.996,0.987,1.90841636355617e-281,"0","RPS19"
"RPL41",6.29857045630082e-280,0.581461669987411,0.999,0.994,2.30533977271066e-275,"0","RPL41"
"FYN",1.86135615318633e-277,3.22003726129065,0.471,0.162,6.81274965627729e-273,"0","FYN"
"BATF",2.88324535108203e-276,4.03138405804343,0.354,0.066,1.05529663094953e-271,"0","BATF"
"RPS2",7.12173854881781e-276,0.629004102444444,0.995,0.98,2.60662752625281e-271,"0","RPS2"
"CST7",6.53241956600261e-270,3.16601366391985,0.39,0.088,2.39093088535262e-265,"0","CST7"
"B2M",2.6755382891019e-268,0.694614402925243,0.997,0.991,9.79273769194186e-264,"0","B2M"
"TTC39C",1.61686236931127e-264,3.6150284393574,0.445,0.147,5.91787795791618e-260,"0","TTC39C"
"RPSA",1.72929202350093e-263,0.901336553878174,0.924,0.873,6.32938173521574e-259,"0","RPSA"
"FAU",8.40819683589431e-261,0.6273054750001,0.993,0.981,3.07748412390568e-256,"0","FAU"
"RPS18",1.72867181164917e-260,0.611590505001256,0.997,0.985,6.32711169781712e-256,"0","RPS18"
"RPL27A",3.91332237599135e-257,0.739795172468848,0.978,0.946,1.43231512283659e-252,"0","RPL27A"
"RPL10",6.08128103105832e-257,0.581128759968073,0.999,0.994,2.22580967017766e-252,"0","RPL10"
"RPL9",1.90204531263762e-254,0.640027004907195,0.995,0.984,6.96167604878496e-250,"0","RPL9"
"ITK",3.26599990275644e-254,4.70509444609398,0.254,0.022,1.19538862440789e-249,"0","ITK"
"ITGA4",1.30460910206643e-252,3.23178642978525,0.407,0.114,4.77499977447336e-248,"0","ITGA4"
"RPLP2",1.6518578137124e-247,0.698033427340851,0.974,0.956,6.04596478396874e-243,"0","RPLP2"
"TPT1",1.4640038249551e-244,0.604832312754933,0.998,0.996,5.35840039971818e-240,"0","TPT1"
"GIMAP4",8.78275421225634e-244,4.499283572066,0.278,0.037,3.21457586922794e-239,"0","GIMAP4"
"RPL3",6.81319071768469e-241,0.633807214136834,0.995,0.981,2.49369593457977e-236,"0","RPL3"
"RPL7A",1.44559262292806e-237,0.582257416814511,0.993,0.976,5.29101355917901e-233,"0","RPL7A"
"PIK3R1",6.62302195706709e-236,3.21548424412582,0.47,0.19,2.42409226650612e-231,"0","PIK3R1"
"SYNE2",1.23444317406692e-232,2.65255313780676,0.546,0.294,4.51818546140234e-228,"0","SYNE2"
"MT-CO3",7.02887213243867e-230,0.66441726142302,0.994,0.983,2.57263748919388e-225,"0","MT-CO3"
"GMFG",7.08506796262978e-230,2.5465513648472,0.49,0.21,2.59320572500212e-225,"0","GMFG"
"MT-CO1",1.83828777573825e-229,0.619408763088166,0.998,0.987,6.72831708797956e-225,"0","MT-CO1"
"RPS23",5.9074534242124e-225,0.567586586656167,0.99,0.966,2.16218702779598e-220,"0","RPS23"
"PLAAT4",4.02880260335175e-221,3.34850410507899,0.418,0.148,1.47458204085278e-216,"0","PLAAT4"
"PTPN22",1.28374328931799e-217,3.86309477086869,0.294,0.056,4.69862881323277e-213,"0","PTPN22"
"RPL39",5.666200572239e-217,0.598768921326149,0.993,0.981,2.0738860714452e-212,"0","RPL39"
"RASGRP1",3.12615423316847e-216,4.21479973374126,0.26,0.038,1.14420371088199e-211,"0","RASGRP1"
"CDC42SE2",6.13653435823124e-212,2.35331494601094,0.52,0.258,2.24603294045621e-207,"0","CDC42SE2"
"PCED1B-AS1",3.52379780228003e-210,3.20049808709598,0.363,0.106,1.28974523361251e-205,"0","PCED1B-AS1"
"RPL18A",1.15942576790524e-209,0.519101685390864,0.994,0.979,4.24361425310996e-205,"0","RPL18A"
"RPL26",2.43193394670805e-207,0.518256206195612,0.994,0.983,8.90112143834613e-203,"0","RPL26"
"LTB",3.68604276949385e-207,2.79939856097692,0.339,0.081,1.34912851406245e-202,"0","LTB"
"RPS27A",1.60019418983734e-205,0.545793450301447,0.997,0.987,5.85687075422365e-201,"0","RPS27A"
"IL7R",7.3549549501827e-205,2.86767650702243,0.42,0.152,2.69198706131637e-200,"0","IL7R"
"ARHGDIB",9.43997779671839e-202,2.3341925688247,0.485,0.221,3.4551262733769e-197,"0","ARHGDIB"
"MT-ND3",1.34900017868704e-201,0.679477816618929,0.973,0.948,4.93747555401244e-197,"0","MT-ND3"
"RPS28",6.60022693450583e-200,0.540133470544206,0.988,0.977,2.41574906029848e-195,"0","RPS28"
"RPS12",5.12474190105402e-197,0.561450707101603,0.997,0.985,1.87570678320478e-192,"0","RPS12"
"RPL19",1.3331669025977e-190,0.50756045802779,0.996,0.985,4.87952418019785e-186,"0","RPL19"
"HINT1",1.98767217233874e-190,0.970232448591168,0.839,0.808,7.27507891797702e-186,"0","HINT1"
"RPL17",4.21728998414119e-190,0.516924404676366,0.994,0.978,1.54357030709552e-185,"0","RPL17"
"RPS6",3.78472645182901e-186,0.56562036267338,0.991,0.972,1.38524772863394e-181,"0","RPS6"
"IKZF1",1.28870539335881e-180,2.54826146822708,0.371,0.127,4.71679061023258e-176,"0","IKZF1"
"RPS4X",2.00213278746813e-175,0.518643132910307,0.995,0.98,7.32800621541211e-171,"0","RPS4X"
"RPL11",1.6256760382726e-169,0.47762239388994,0.995,0.98,5.95013686768156e-165,"0","RPL11"
"HLA-A",1.11520220859642e-168,0.654446927393423,0.968,0.946,4.08175160368376e-164,"0","HLA-A"
"RPL15",1.09280926566155e-166,0.454074393599238,0.995,0.984,3.99979119324782e-162,"0","RPL15"
"CREM",1.35518372650423e-166,1.93042843392888,0.59,0.387,4.96010795737814e-162,"0","CREM"
"CRIP1",6.81091210454836e-165,1.81821334853868,0.589,0.393,2.49286193938575e-160,"0","CRIP1"
"RPS9",4.24769612159231e-164,0.493026896833303,0.991,0.98,1.554699257464e-159,"0","RPS9"
"RPS13",1.66310939059534e-162,0.537455273671777,0.984,0.969,6.08714668051802e-158,"0","RPS13"
"RPL13A",1.42789547104319e-161,0.571206223696301,0.969,0.95,5.22624021356518e-157,"0","RPL13A"
"DUSP4",1.03958624405412e-160,2.0334851659535,0.462,0.217,3.80498961186247e-156,"0","DUSP4"
"UBA52",7.5074544344895e-157,0.572707703443372,0.952,0.956,2.7478033975675e-152,"0","UBA52"
"SLA",4.02961325067604e-156,2.83340121923262,0.277,0.072,1.47487874587994e-151,"0","SLA"
"RPL29",3.71658400803702e-155,0.472540673978491,0.99,0.971,1.36030691278163e-150,"0","RPL29"
"ANKRD12",4.39336253381147e-153,1.57704372360777,0.654,0.56,1.60801462100034e-148,"0","ANKRD12"
"RACK1",3.16892742771086e-152,0.519658203653278,0.97,0.963,1.15985912781645e-147,"0","RACK1"
"RPLP1",1.49470521128047e-151,0.403461349995334,0.998,0.995,5.47077054380766e-147,"0","RPLP1"
"ZFP36L2",9.59650920203145e-150,1.69661254690709,0.616,0.475,3.51241833303553e-145,"0","ZFP36L2"
"MIAT",4.35890049382371e-147,3.32458232215532,0.295,0.095,1.59540116974442e-142,"0","MIAT"
"RPS21",1.34715571006483e-145,0.5262825081712,0.967,0.949,4.93072461440829e-141,"0","RPS21"
"EVI2B",1.51088171775277e-145,1.97662848325283,0.434,0.212,5.52997817514693e-141,"0","EVI2B"
"UQCRB",3.60892076220184e-144,1.12849538558703,0.742,0.767,1.3209010881735e-139,"0","UQCRB"
"CYTIP",3.81100734909684e-142,1.50494681466166,0.556,0.334,1.39486679984294e-137,"0","CYTIP"
"RPL32",2.13108798251659e-138,0.446726161221632,0.995,0.983,7.79999512480896e-134,"0","RPL32"
"N4BP2L2",9.04846781313096e-137,1.61313625237904,0.593,0.473,3.31182970428406e-132,"0","N4BP2L2"
"P2RY10",2.56718932404415e-136,2.67610396064406,0.266,0.076,9.39616964493401e-132,"0","P2RY10"
"RPS3A",5.72572379488149e-134,0.456003679918728,0.996,0.988,2.09567216616457e-129,"0","RPS3A"
"LCP1",5.52118275490597e-132,1.58882351416164,0.478,0.256,2.02080810012313e-127,"0","LCP1"
"RPL18",9.61418844815184e-131,0.409151851730086,0.994,0.986,3.51888911390805e-126,"0","RPL18"
"NR3C1",1.69566389345792e-127,1.99833886029407,0.54,0.414,6.20629941644533e-123,"0","NR3C1"
"LINC-PINT",7.17930035441441e-127,1.93941093577688,0.537,0.4,2.62769572271922e-122,"0","LINC-PINT"
"DUSP2",4.53841723132311e-124,1.67477384344764,0.455,0.244,1.66110609083657e-119,"0","DUSP2"
"RPL36AL",2.58183311537499e-121,0.627949343475597,0.882,0.897,9.449767385584e-117,"0","RPL36AL"
"MT-ND1",4.91323433157004e-121,0.49836267504402,0.967,0.95,1.79829289769795e-116,"0","MT-ND1"
"GNG2",5.86630444465095e-121,2.62903116057635,0.281,0.098,2.1471260897867e-116,"0","GNG2"
"WIPF1",2.17417221722958e-120,1.9844816829505,0.447,0.268,7.95768773228198e-116,"0","WIPF1"
"CNOT6L",2.64576326336881e-117,2.79128594328528,0.39,0.218,9.6837581202562e-113,"0","CNOT6L"
"IL2RG",3.73875564541376e-113,1.95643528311312,0.403,0.217,1.36842195377789e-108,"0","IL2RG"
"IL32",8.62968277338721e-113,1.68722136105009,0.454,0.26,3.15855019188745e-108,"0","IL32"
"ARGLU1",2.2612502781341e-109,1.33433034869654,0.642,0.615,8.27640214299864e-105,"0","ARGLU1"
"JUND",5.51757239751357e-109,0.631605552709035,0.863,0.863,2.01948667321394e-104,"0","JUND"
"CD48",6.22056809099212e-109,1.03308225211596,0.437,0.215,2.27679012698403e-104,"0","CD48"
"PTMA",6.23242170488638e-109,0.351769025836653,0.992,0.976,2.28112866820546e-104,"0","PTMA"
"RPL27",2.05834783515596e-108,0.505451803603874,0.917,0.923,7.53375891145432e-104,"0","RPL27"
"RPL10A",1.08469997360793e-107,0.452733190270797,0.945,0.932,3.9701103734024e-103,"0","RPL10A"
"ARID5B",9.14098118402255e-104,1.66861973471856,0.577,0.505,3.34569052316409e-99,"0","ARID5B"
"IKZF3",9.50035108202257e-104,2.62658587254836,0.25,0.087,3.47722349953108e-99,"0","IKZF3"
"RPL36",8.86797642340233e-103,0.430590532666585,0.973,0.969,3.24576805072949e-98,"0","RPL36"
"RPL35",3.65016117784663e-102,0.413029087382013,0.955,0.946,1.33599549270364e-97,"0","RPL35"
"HLA-B",2.76583931635388e-101,0.441122363719041,0.984,0.943,1.01232484817868e-96,"0","HLA-B"
"COX7C",5.95198864384544e-100,0.912725519887144,0.705,0.769,2.17848736353387e-95,"0","COX7C"
"RNF213",2.99508234537217e-99,2.1735088444709,0.451,0.321,1.09623008922967e-94,"0","RNF213"
"STK4",1.43844235784507e-98,1.59417930832338,0.553,0.476,5.26484287394874e-94,"0","STK4"
"BTF3",1.53015587406421e-98,0.538189406764066,0.896,0.902,5.60052351466243e-94,"0","BTF3"
"RNF19A",2.49709006245993e-98,1.94630738889495,0.488,0.374,9.13959933760959e-94,"0","RNF19A"
"DDX24",5.11096562339282e-98,1.26331932050555,0.631,0.642,1.87066452781801e-93,"0","DDX24"
"MT-ND4",1.02638081401448e-96,0.380324626181562,0.996,0.984,3.75665641737439e-92,"0","MT-ND4"
"TMA7",7.7358634551242e-96,0.881052918700897,0.716,0.77,2.83140338321001e-91,"0","TMA7"
"GPRIN3",4.54625013837667e-95,2.42669273026876,0.264,0.105,1.66397301314725e-90,"0","GPRIN3"
"MBNL1",1.65996585831913e-93,1.64809781203176,0.531,0.448,6.07564103803384e-89,"0","MBNL1"
"RPL6",1.82689555322207e-91,0.416263700603433,0.965,0.963,6.6866204143481e-87,"0","RPL6"
"RABGAP1L",3.30014990935753e-91,2.79784866642764,0.267,0.114,1.20788786832395e-86,"0","RABGAP1L"
"EEF1A1",6.74837853057271e-91,0.318920322024518,0.998,0.991,2.46997402597492e-86,"0","EEF1A1"
"RGCC",8.0642075039101e-91,1.73589199477016,0.512,0.396,2.95158058850613e-86,"0","RGCC"
"APBB1IP",8.28888371705336e-91,2.39407770058176,0.251,0.099,3.0338143292787e-86,"0","APBB1IP"
"CD52",2.9154675571741e-90,1.72159039498907,0.326,0.152,1.06709028060129e-85,"0","CD52"
"SAMSN1",7.18065619501862e-88,1.14439400967872,0.472,0.286,2.62819197393876e-83,"0","SAMSN1"
"MT-ND2",1.6431597803736e-86,0.413153563087702,0.981,0.974,6.0141291121454e-82,"0","MT-ND2"
"HLA-C",5.79553307282704e-86,0.469599395487964,0.95,0.936,2.12122305998542e-81,"0","HLA-C"
"PDCD4",2.5416230891443e-85,1.83842680491482,0.458,0.344,9.30259466857704e-81,"0","PDCD4"
"MT-ND5",1.58542501430086e-82,0.430752570401439,0.941,0.941,5.80281409484258e-78,"0","MT-ND5"
"RPL5",1.93249782351111e-80,0.347344736232761,0.986,0.958,7.07313528383303e-76,"0","RPL5"
"CASP8",2.52644481882805e-80,2.40856286673987,0.314,0.169,9.24704068139254e-76,"0","CASP8"
"SMCHD1",1.51478966400869e-79,1.56618849172179,0.524,0.447,5.54428164923819e-75,"0","SMCHD1"
"PABPC1",5.27905226003431e-79,0.924937853100143,0.806,0.869,1.93218591769516e-74,"0","PABPC1"
"STAT5B",6.35091707069885e-79,2.73019794408288,0.275,0.134,2.32449915704649e-74,"0","STAT5B"
"CLDND1",1.15652440826503e-78,1.56944092110624,0.575,0.567,4.23299498669085e-74,"0","CLDND1"
"SRSF5",2.13589649269595e-78,0.787794690577177,0.718,0.749,7.81759475291643e-74,"0","SRSF5"
"SNHG6",2.07216375757573e-77,0.835712047183588,0.722,0.728,7.58432656910294e-73,"0","SNHG6"
"RPL36A",2.77708787479813e-77,0.42139670027664,0.911,0.91,1.01644193305486e-72,"0","RPL36A"
"EEF1D",3.10420606729634e-76,0.400900133749523,0.935,0.938,1.13617046269113e-71,"0","EEF1D"
"H2AFZ",3.42928468961536e-76,0.698819457382624,0.783,0.814,1.25515248924612e-71,"0","H2AFZ"
"STK17B",4.84349933898446e-72,1.75354257284432,0.451,0.352,1.7727691930617e-67,"0","STK17B"
"RPS10",1.0892357963641e-71,0.697713439005869,0.721,0.797,3.98671193827225e-67,"0","RPS10"
"SEPTIN6",4.43994732096253e-71,1.91827050041284,0.332,0.195,1.6250651189455e-66,"0","SEPTIN6"
"RPL38",5.26419769622746e-71,0.486000301468629,0.852,0.901,1.92674899879621e-66,"0","RPL38"
"COX4I1",3.3074244418594e-69,0.556104616208343,0.832,0.893,1.21055041996496e-64,"0","COX4I1"
"EEF1B2",1.02230879001168e-68,0.406946876341876,0.906,0.916,3.74175240232174e-64,"0","EEF1B2"
"CALM1",2.21419529475515e-68,0.452758751624943,0.846,0.85,8.10417619833332e-64,"0","CALM1"
"SOD1",7.75573577517028e-68,1.31866023470651,0.555,0.558,2.83867685107008e-63,"0","SOD1"
"NOP53",8.89346884491538e-68,0.786498232668392,0.68,0.745,3.25509853192748e-63,"0","NOP53"
"TOMM7",1.45254002704274e-67,0.767278902500691,0.689,0.745,5.31644175297912e-63,"0","TOMM7"
"GBP2",4.36813021381097e-67,1.4064622085348,0.448,0.334,1.59877933955695e-62,"0","GBP2"
"ZC3HAV1",1.4138360609242e-65,1.78856218228187,0.386,0.268,5.17478136658866e-61,"0","ZC3HAV1"
"RPS20",2.7770295511966e-64,0.596823364193612,0.768,0.832,1.01642058603347e-59,"0","RPS20"
"RPS11",4.1199914984204e-64,0.318743950654877,0.941,0.953,1.50795808833685e-59,"0","RPS11"
"TNFAIP3",6.00537363130793e-64,1.18402421600766,0.512,0.429,2.19802680279501e-59,"0","TNFAIP3"
"RUNX3",7.50906194675164e-64,1.99540580876159,0.337,0.212,2.74839176313057e-59,"0","RUNX3"
"NPM1",7.83491535700534e-64,0.470072982779461,0.877,0.888,2.86765736981753e-59,"0","NPM1"
"DDX3X",1.16883823124935e-63,0.867496575543353,0.69,0.742,4.27806481019573e-59,"0","DDX3X"
"RPL35A",3.35559023486047e-63,0.29538694529629,0.987,0.977,1.22817958186128e-58,"0","RPL35A"
"RPL12",1.09098419666218e-62,0.291948056567742,0.981,0.97,3.99311125820324e-58,"0","RPL12"
"CD53",2.15641897588104e-62,1.15954874523946,0.421,0.283,7.89270909362219e-58,"0","CD53"
"RSRP1",3.98121623783157e-60,0.926143357113102,0.647,0.692,1.45716495520873e-55,"0","RSRP1"
"ATP5MG",5.83526152225056e-60,0.760605901656824,0.683,0.755,2.13576406975893e-55,"0","ATP5MG"
"PDE4D",6.97422371594045e-58,2.24257551027445,0.263,0.145,2.55263562227137e-53,"0","PDE4D"
"OAZ1",1.39182635895678e-56,0.402776916143801,0.919,0.935,5.09422365641773e-52,"0","OAZ1"
"ETS1",7.99812540607686e-56,2.02340784440849,0.362,0.267,2.92739387987819e-51,"0","ETS1"
"AC010642.2",3.96663983985115e-55,0.278361176110513,0.092,0.265,1.45182984778392e-50,"0","AC010642.2"
"NAP1L1",5.1030224208265e-55,0.689769691497141,0.707,0.77,1.86775723624671e-50,"0","NAP1L1"
"MBP",7.61170462363165e-55,1.8191863634866,0.345,0.236,2.78596000929542e-50,"0","MBP"
"RPL24",9.53303379549087e-54,0.300634737424407,0.989,0.974,3.48918569948761e-49,"0","RPL24"
"LYST",1.24969921358267e-53,2.10530946198349,0.38,0.298,4.57402409163392e-49,"0","LYST"
"NACA",3.03403537636546e-53,0.272590880937109,0.979,0.977,1.11048728810352e-48,"0","NACA"
"RHOH",6.7377878894677e-53,1.73613884217685,0.254,0.135,2.46609774542407e-48,"0","RHOH"
"ARAP2",2.57794586201823e-51,2.32650120134139,0.28,0.175,9.43553964957293e-47,"0","ARAP2"
"TBCC",7.2381283715286e-51,2.59755473727477,0.265,0.162,2.64922736526318e-46,"0","TBCC"
"SON",7.3010918763312e-51,0.961345127606483,0.598,0.657,2.67227263765598e-46,"0","SON"
"YARS",8.77457578986083e-51,0.279057326043018,0.093,0.258,3.21158248484696e-46,"0","YARS"
"SEPTIN7",1.94775410084352e-49,0.926946677259402,0.615,0.679,7.12897478449737e-45,"0","SEPTIN7"
"ACAP1",2.07454495673754e-49,1.94994483826472,0.3,0.195,7.59304199615508e-45,"0","ACAP1"
"GAS5",2.55489301552461e-49,0.589358246067566,0.729,0.75,9.35116392612164e-45,"0","GAS5"
"ATXN2L",7.38325083187638e-49,0.279247534885116,0.133,0.324,2.70234363697507e-44,"0","ATXN2L"
"HSPA8",9.67855672308665e-48,0.757169125793861,0.672,0.697,3.54244854621694e-43,"0","HSPA8"
"NDUFB8",1.26011172874097e-47,0.900951579957177,0.603,0.666,4.61213493836484e-43,"0","NDUFB8"
"HMGB1",1.54018028441647e-47,0.495559956056361,0.779,0.846,5.63721385899273e-43,"0","HMGB1"
"CYBA",1.56433296420776e-47,0.714627958505333,0.692,0.688,5.72561508229683e-43,"0","CYBA"
"MRPL43",9.38140501926061e-47,0.286002140684798,0.149,0.348,3.43368805109958e-42,"0","MRPL43"
"PNRC1",4.55687950454925e-46,0.370035745377884,0.792,0.831,1.66786346746007e-41,"0","PNRC1"
"TMUB1",5.20449186577766e-46,0.298968204627724,0.134,0.318,1.90489606779328e-41,"0","TMUB1"
"NOSIP",2.8312729191284e-45,0.277508033100069,0.127,0.305,1.03627420113019e-40,"0","NOSIP"
"ARL6IP5",2.87214707235225e-45,1.07742186674643,0.538,0.526,1.05123454995165e-40,"0","ARL6IP5"
"GPR183",4.92216574401433e-45,1.18184697233988,0.351,0.235,1.80156188396668e-40,"0","GPR183"
"TRPC4AP",5.06694701052217e-45,0.427061966159128,0.109,0.274,1.85455327532122e-40,"0","TRPC4AP"
"ATP5F1E",1.85245812629641e-44,0.46991927629573,0.81,0.872,6.78018198805747e-40,"0","ATP5F1E"
"SIKE1",2.35201863607076e-44,0.377507698651562,0.131,0.31,8.60862340988259e-40,"0","SIKE1"
"CAPRIN1",2.74449342910761e-44,0.273129754826014,0.149,0.343,1.00451203998767e-39,"0","CAPRIN1"
"AIP",2.8275054635167e-44,0.292339457332292,0.148,0.339,1.03489527470175e-39,"0","AIP"
"SRSF7",3.34571326648668e-44,1.05202111285003,0.61,0.661,1.22456451266679e-39,"0","SRSF7"
"IFT20",4.2013803787811e-44,0.429210957642336,0.144,0.333,1.53774723243767e-39,"0","IFT20"
"EPRS",6.23771493534376e-44,0.263815240877808,0.144,0.331,2.28306604348517e-39,"0","EPRS"
"TMEM33",7.57123125312946e-44,0.266504827255438,0.098,0.251,2.77114635095791e-39,"0","TMEM33"
"STARD7",1.76214041345324e-43,0.475229707146829,0.142,0.327,6.44961012728019e-39,"0","STARD7"
"RPP21",2.38439005662145e-43,0.318637693682205,0.169,0.376,8.72710604624019e-39,"0","RPP21"
"EXOSC1",2.94890623609369e-43,0.361290709188279,0.103,0.26,1.07932917147265e-38,"0","EXOSC1"
"GNL1",4.32127213003444e-43,0.284969533910705,0.119,0.286,1.58162881231391e-38,"0","GNL1"
"FAM104A",6.37593638923949e-43,0.29062547828607,0.107,0.265,2.33365647782555e-38,"0","FAM104A"
"TTC17",8.50410032999755e-43,0.282369026950033,0.112,0.273,3.1125857617824e-38,"0","TTC17"
"TMEM87A",3.13932575344316e-42,0.293595876064683,0.149,0.336,1.14902461901773e-37,"0","TMEM87A"
"COA8",3.16594324675819e-42,0.364267610720912,0.108,0.266,1.15876688774596e-37,"0","COA8"
"TRIR",3.83039943353574e-42,0.995068248891203,0.567,0.647,1.40196449666842e-37,"0","TRIR"
"NAPG",1.54445322058293e-41,0.353778402733516,0.104,0.257,5.65285323265558e-37,"0","NAPG"
"PHF5A",2.60094655379128e-41,0.264494440697352,0.107,0.261,9.51972448153147e-37,"0","PHF5A"
"BIRC3",3.06275054271826e-41,1.386651380056,0.411,0.345,1.12099732614031e-36,"0","BIRC3"
"MRPS21",3.39416402037407e-41,0.276021594477403,0.148,0.332,1.24229797309711e-36,"0","MRPS21"
"PANK2",3.64712057535719e-41,0.347911509978823,0.125,0.292,1.33488260178649e-36,"0","PANK2"
"YPEL3",5.49964921202352e-41,1.25408090053257,0.485,0.478,2.01292660809273e-36,"0","YPEL3"
"TSC22D3",6.15604123559751e-41,1.32345414602318,0.495,0.492,2.25317265264105e-36,"0","TSC22D3"
"PLEKHA3",1.49305952398139e-40,0.307765610414123,0.122,0.285,5.46474716372427e-36,"0","PLEKHA3"
"NUDT21",1.73569086102642e-40,0.311816209246114,0.147,0.329,6.35280212044279e-36,"0","NUDT21"
"PRRC2C",3.78700062718927e-40,0.733340149865822,0.638,0.719,1.38608009955755e-35,"0","PRRC2C"
"IMMT",4.23272384276509e-40,0.292680405082042,0.12,0.281,1.54921925369045e-35,"0","IMMT"
"GTF2F1",7.17790057696024e-40,0.28917658836385,0.11,0.263,2.62718339017322e-35,"0","GTF2F1"
"MRPS22",7.91920380413459e-40,0.282944237025489,0.134,0.306,2.8985077843513e-35,"0","MRPS22"
"SLC38A1",7.9868577341916e-40,1.7024848141733,0.359,0.292,2.92326979929147e-35,"0","SLC38A1"
"LARP4",1.32342482466464e-39,0.275595775173009,0.105,0.253,4.84386720075503e-35,"0","LARP4"
"NCL",1.51167305063562e-39,0.611950909456167,0.672,0.742,5.53287453263145e-35,"0","NCL"
"NDUFB1",3.91559845147052e-39,0.302109850150559,0.149,0.33,1.43314818922272e-34,"0","NDUFB1"
"MSL1",4.75577633865476e-39,0.369877175094488,0.127,0.291,1.74066169771103e-34,"0","MSL1"
"TRAPPC2L",5.17483285957959e-39,0.345794547714101,0.109,0.26,1.89404057493473e-34,"0","TRAPPC2L"
"CASP3",5.98396443559693e-39,0.330600165956052,0.114,0.269,2.19019082307283e-34,"0","CASP3"
"ANP32B",6.38244384453153e-39,1.03144481264498,0.559,0.637,2.33603827153699e-34,"0","ANP32B"
"PSMC2",6.4753047553439e-39,0.29543215191351,0.14,0.313,2.37002629350342e-34,"0","PSMC2"
