"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IRAK1",8.71686332667738e-07,0.26636539667395,0.157,0.256,0.0319045914619719,"3","IRAK1"
"CEBPG1",9.35096098408591e-07,0.334574134011728,0.157,0.258,0.0342254522978528,"3","CEBPG"
"SEPTIN91",1.13073898003918e-06,1.06810333394381,0.341,0.324,0.041386177408414,"3","SEPTIN9"
"HEXA1",1.18111110499941e-06,0.550365147567762,0.173,0.285,0.0432298475540835,"3","HEXA"
"SETD51",1.6176765988386e-06,0.291521993921442,0.22,0.346,0.0592085811940918,"3","SETD5"
"PDCD41",1.91225430600589e-06,0.650388533600802,0.401,0.377,0.0699904198541216,"3","PDCD4"
"IL2RG1",2.02354791159591e-06,0.422522442241632,0.33,0.269,0.074063877112322,"3","IL2RG"
"KMT2E1",2.45460197922954e-06,0.509467730735935,0.536,0.578,0.0898408870417803,"3","KMT2E"
"ZC3HAV11",2.50460364373475e-06,0.596024400236607,0.343,0.301,0.0916709979643354,"3","ZC3HAV1"
"MED281",2.86157988261157e-06,0.270409550614065,0.181,0.285,0.104736685283466,"3","MED28"
"DARS",4.03329557621373e-06,0.285935363665738,0.16,0.254,0.147622651384999,"3","DARS"
"ELF11",4.65998198644252e-06,0.622278168049924,0.411,0.398,0.170560000685783,"3","ELF1"
"CREBRF",4.82323814504362e-06,0.870205898626145,0.403,0.405,0.176535339346742,"3","CREBRF"
"RGS2",7.72624731607709e-06,0.513316996029732,0.354,0.311,0.282788378015738,"3","RGS2"
"SNHG81",1.02133470483264e-05,0.563480108256157,0.562,0.592,0.373818715315796,"3","SNHG8"
"UPF21",1.08789528264972e-05,1.17488606759443,0.287,0.265,0.398180552402625,"3","UPF2"
"TRABD1",1.25114160753345e-05,0.932109802137728,0.352,0.345,0.457930339773319,"3","TRABD"
"ACAP11",1.56780066758479e-05,0.764400548892379,0.266,0.223,0.57383072234271,"3","ACAP1"
